acl,app-util/acl,2.3.2,97203a72cae99ab89a067fe2210c1cbf052bc492b479eca7d226d9830883b0bd,https://download.savannah.gnu.org/releases/acl/acl-VVV.tar.xz,https://savannah.nongnu.org/projects/acl,The Acl package contains utilities to administer Access Control Lists
attr,app-util/attr,2.5.2,f2e97b0ab7ce293681ab701915766190d607a1dba7fae8a718138150b700a70b,https://download.savannah.nongnu.org/releases/attr/attr-VVV.tar.xz,https://savannah.nongnu.org/projects/attr,The Attr package contains utilities to administer the extended attributes of filesystem objects
autoconf,dev-tool/autoconf,2.72,ba885c1319578d6c94d46e9b0dceb4014caafe2490e437a0dbca3f270a223f5a,https://ftpmirror.gnu.org/autoconf/autoconf-VVV.tar.xz,https://www.gnu.org/software/autoconf/,Autoconf is an extensible package of M4 macros that produce shell scripts to automatically configure software source code
automake,dev-tool/automake,1.17,8920c1fc411e13b90bf704ef9db6f29d540e76d232cb3b2c9f4dc4cc599bd990,https://ftpmirror.gnu.org/automake/automake-VVV.tar.xz,https://www.gnu.org/software/automake/,The Automake package contains programs for generating Makefiles for use with Autoconf
bash,app-shell/bash,5.2.37,9599b22ecd1d5787ad7d3b7bf0c59f312b3396d1e281175dd1f8a4014da621ff,https://ftpmirror.gnu.org/bash/bash-VVV.tar.gz,https://www.gnu.org/software/bash/,bash is the GNU Bourne again shell
bc,sci-math/bc,6.7.6,828f390c2a552cadbc8c8ad5fde6eeaee398dc8d59d706559158330f3629ce35,https://github.com/gavinhoward/bc/releases/download/VVV/bc-VVV.tar.xz,https://git.gavinhoward.com/gavin/bc,bc is an arbitrary precision numeric processing language
binutils,dev-tool/binutils,2.43.1,13f74202a3c4c51118b797a39ea4200d3f6cfbe224da6d1d95bb938480132dfd,https://ftpmirror.gnu.org/binutils/binutils-VVV.tar.xz,https://www.gnu.org/software/binutils/,The GNU Binutils are a collection of binary tools including a linker and an assembler
bison,dev-tool/bison,3.8.2,9bba0214ccf7f1079c5d59210045227bcf619519840ebfa80cd3849cff5a5bf2,https://ftpmirror.gnu.org/bison/bison-VVV.tar.xz,https://www.gnu.org/software/bison/,GNU Bison is a general purpose parser-generator
bzip2,app-arch/bzip2,1.0.8,ab5a03176ee106d3f0fa90e381da478ddae405918153cca248e682cd0c4a2269,https://sourceware.org/pub/bzip2/bzip2-VVV.tar.gz,https://www.sourceware.org/bzip2/,bzip2 is a freely available patent free high-quality data compressor
coreutils,app-util/coreutils,9.5,cd328edeac92f6a665de9f323c93b712af1858bc2e0d88f3f7100469470a1b8a,https://ftpmirror.gnu.org/coreutils/coreutils-VVV.tar.xz,https://www.gnu.org/software/coreutils/,These are the core utilities which are expected to exist on every operating system
